,0
380,-364.7937949230938
381,-225.75645029815928
382,-262.51673430461517
383,-319.6084166449367
384,-206.4285464572858
385,174.77411837030405
386,-326.5982281644613
387,191.38823187535786
388,-185.41169608328755
389,-101.06597574141789
390,-74.58782441073922
391,-149.14371093537613
392,152.32714702656864
393,-116.96807216292598
394,-209.04452207083546
395,255.43717978222108
396,-61.37466279252285
397,-159.05932414568608
398,-56.59806565533717
399,-118.5247692707128
400,-222.1351484625904
401,-137.97757473797114
402,-186.12401249472043
403,204.99523354081487
404,-262.1317597283367
405,-470.4087579487988
406,176.03119303923873
407,-322.8696665817734
408,-146.0597734326017
409,-97.97508745812273
410,23.694695832257608
411,230.79760747714943
412,-79.2255551187687
413,-122.28999936928342
414,-212.08576113105946
415,-45.19532630774521
416,-142.1334621391412
417,-69.30448910176642
418,219.13264350746863
419,-225.52527817477582
420,197.46534807539018
421,11.8491519450249
422,158.13168234787088
423,41.065533839157006
424,178.29479610901785
425,169.63949309853103
426,-11.383348942532068
427,252.27720076197082
428,-297.6522487951663
429,-130.15501494826378
430,205.38106251196123
431,-278.807118311703
432,-35.99421380792252
433,-159.38631712987856
434,-117.82191341694441
435,141.9372988909155
436,-440.855623837784
437,179.9516389383732
438,-22.970822357105988
439,42.26590943765521
440,-51.44500359816019
441,-279.4603113212811
442,222.52478016599292
443,-18.597161822627697
444,-342.5838860716392
445,239.26886453776132
446,-383.3269008250725
447,-26.71847673896805
448,182.08059733912222
449,-81.08273148727562
450,-43.03923774483215
451,-76.1925685408215
452,213.59319756872623
453,232.62559418339407
454,175.20685105024415
455,151.28040042762444
456,-13.739303133125222
457,-2.7036329049334404
458,195.88598214373883
459,-75.6845018298717
460,8.127017179202022
461,-176.23476849538656
462,227.38977577516488
463,-228.6332610950841
464,49.35561380203116
465,-37.50224519362659
466,-179.74554035052606
467,23.853235378249508
468,14.947688328528836
469,-31.991495519175466
470,207.1559370805603
471,-116.49452980777632
472,-164.76090312045653
473,147.6841299494078
474,184.47615921029504
475,-569.3979573206292
476,-84.08052357824351
477,204.24218058415883
478,4.546384469600297
479,-206.4505728851404
480,-307.1440534920452
481,260.7137624865335
482,212.58731042417247
483,-292.77497840491685
484,-105.66000685823452
485,13.716041088545392
486,230.39937880194535
487,-45.748628745075834
488,-53.196241462391306
489,-57.840073360919305
490,-311.18595625906573
491,-192.57433185264716
492,-7.342835486177407
493,-389.5692033912099
494,-194.54204426156167
495,230.64650103448815
496,-280.53205481988505
497,-295.0535673248332
498,223.95152502776332
499,202.89581612560332
500,-104.03139628032326
501,-51.997511992733
502,6.941879836227454
503,47.5998786813021
504,195.89275942466548
505,-56.495119343087126
506,-267.4893988286591
507,-227.4478857515931
508,-162.35180868900633
509,-45.9053501249075
510,-36.85915881570196
511,182.00384878920815
512,-52.55479546575293
513,206.95557360140367
514,-63.350400902602104
515,-110.99842743518724
516,-168.0958323330885
517,-13.945779814281025
518,-144.87651149708614
519,-140.89263719364578
520,-32.609798881146304
521,-26.99934399993036
522,-216.67164936242114
523,-62.03189234759984
524,234.4855993474918
525,-21.999937603324156
526,-89.83636289195711
527,-206.2744870157689
528,-203.68515188713724
529,-42.754130778671794
530,249.94688491126664
531,-162.32048600703553
532,18.83762124942993
533,-28.70627699693182
534,-14.270328713371867
535,274.53535552590483
536,-154.21218215848603
537,198.77298754342763
538,-177.27017679102426
539,-114.6399207463496
540,193.86143645946538
541,-59.80144644769048
542,-6.740923761398477
543,40.707368844644265
544,33.85520487413095
545,13.365177416281185
546,-103.33737416805673
547,-68.40011223124438
548,-62.28569454213562
549,35.91191010512969
550,250.74470666915064
551,-158.5092977412903
552,31.78115355611189
553,-76.95809340678495
554,-42.24888652780507
555,-70.64345147246453
556,15.591384573177109
557,-239.00687106734546
558,-98.80516594389151
559,15.568174006368324
560,-249.31305347528584
561,-6.620067250195035
562,-25.616625150998644
563,-176.45554112058323
564,-211.54567072808263
565,-185.34617713125695
566,-197.63584572638598
567,-87.07040401635395
568,14.701179315068458
569,-154.81809014579073
570,-300.9210552407275
571,-5.700841495112982
572,-48.888535005053434
573,-49.661080221295265
574,-125.30604813902626
575,1.343596326203567
576,-36.7060348899124
577,160.22491179082147
578,-28.096764239180175
579,-11.97129684498934
580,2.604582501887446
581,-189.37840784712296
582,-134.665939347853
583,6.369731988880247
584,-13.129394278267696
585,-297.29207706343027
586,-91.22189122070296
587,-16.493171339121886
588,-141.41939071099924
589,-9.706618068043213
590,-251.51311279709154
591,-18.363401306880874
592,-24.743754111853903
593,-96.41588278673244
594,-177.8588568294224
595,-106.33815781055065
596,-93.78655372831925
597,-49.98607159329812
598,-74.7343153809152
599,142.6951808806349
600,-122.6871933419491
601,-134.80872438697682
602,-119.77634756708069
603,225.66527658769448
604,-86.14099084179226
605,259.6517196339603
606,266.5068943616177
607,183.12935620750966
608,-143.37675609312112
609,223.17451189554626
610,181.24379850354637
611,-189.5196875056381
612,253.95272714414693
613,278.09437492218467
614,-124.1997429548526
615,243.07031324456773
616,2.9703086916074
617,-132.5360677452424
618,170.96493816883464
619,33.635088665716324
620,193.96960215552605
621,251.4713307958191
622,-104.49726905599509
623,-149.37606182744412
624,-85.21775679540602
625,216.84101887513097
626,177.5838955758539
627,203.67076336070318
628,194.070816764825
629,238.06093553660537
630,194.88101676554567
631,93.18123038332625
632,116.11748523558177
633,206.37278555972748
634,173.64791587316506
635,-283.7820874997278
636,195.91968081280214
637,170.02894743109897
638,129.63287732829394
639,50.22841944457625
640,185.32412602048862
641,147.85794060531148
642,-178.54759148658795
643,-257.2096952098808
644,170.44904459410088
645,245.47025101041547
646,-160.61072713677456
647,3.488853516365186
648,178.2988743157797
649,256.93497017325706
650,225.20721951724568
651,240.95484731938163
652,276.7466119853956
653,-355.37280629661666
654,177.59432683905362
655,238.32084035964422
656,208.7840716350849
657,242.60471621410744
658,-224.34278115092746
659,266.84227388955776
660,240.82240948134498
661,214.43805786783068
662,232.05157781799426
663,-125.86838411625067
664,253.40480805155204
665,222.7919297550598
666,-320.28306046924627
667,-33.878272731410135
668,226.33517479178118
669,250.72726988076218
670,258.7378821073436
671,-62.136267300890495
672,237.26459972703717
673,214.07317378944933
674,211.67706737360402
675,245.77953761661834
676,251.90982253654377
677,-29.36820194142804
678,16.666826958339456
679,264.06904536074535
680,261.67105810264945
681,-12.96634570544083
682,228.4520518846804
683,192.77818101979977
684,204.34292895611827
685,235.4988250656559
686,199.08615358527243
687,238.45956526136735
688,18.833140089140592
689,258.78142956672957
690,-154.12959168601094
691,22.859694620369993
692,15.56590858275736
693,307.59372331963743
694,195.02136128497574
695,-36.846350175801234
696,270.37308576533235
697,253.87987006610138
698,122.19051426384243
699,178.4105022660109
700,219.2616626699202
701,-2.1979995008435025
702,98.84998912495905
703,-332.3549138934155
704,189.64235280572248
705,198.57214277104654
706,254.07038811728188
707,198.96219651020715
708,89.77292010214782
709,226.92469214276244
710,-23.238441092376547
711,-98.87639724092098
712,-244.3523865447529
713,247.0580431686061
714,252.80710891620558
715,271.6834262845017
716,24.601832708295248
717,199.35225960496302
718,-53.85804722302476
